# restwave bluenorm blueerr rednorm rederr
962.724 0.595 0.109 0.595 0.098
962.856 0.438 0.109 0.298 0.097
962.987 0.335 0.109 0.436 0.098
963.119 0.451 0.110 0.590 0.099
963.251 0.589 0.109 0.618 0.099
963.383 0.575 0.109 0.751 0.098
963.514 0.591 0.109 0.725 0.097
963.646 0.597 0.109 0.611 0.097
963.778 0.388 0.107 0.593 0.097
963.909 0.408 0.108 0.644 0.098
964.041 0.498 0.108 0.487 0.097
964.173 0.457 0.109 0.655 0.099
964.305 0.297 0.108 0.521 0.098
964.436 0.467 0.109 0.581 0.098
964.568 0.342 0.107 0.717 0.098
964.700 0.428 0.107 0.820 0.098
964.831 0.474 0.107 0.747 0.098
964.963 0.516 0.107 0.782 0.098
965.095 0.568 0.108 0.952 0.099
965.227 0.610 0.108 0.991 0.100
965.358 0.457 0.107 0.763 0.099
965.490 0.633 0.107 0.661 0.097
965.622 0.692 0.107 0.710 0.100
965.753 0.661 0.107 0.581 0.105
965.885 0.606 0.107 0.744 0.101
966.017 0.536 0.106 0.777 0.097
966.149 0.494 0.105 0.906 0.097
966.280 0.542 0.104 0.835 0.096
966.412 0.679 0.104 0.790 0.095
966.544 0.491 0.103 0.590 0.093
966.675 0.571 0.103 0.678 0.093
966.807 0.661 0.104 0.753 0.095
966.939 0.656 0.104 0.820 0.095
967.071 0.538 0.103 0.706 0.093
967.202 0.469 0.102 0.464 0.092
967.334 0.389 0.102 0.186 0.090
967.466 0.315 0.101 0.243 0.091
967.597 0.292 0.101 0.322 0.091
967.729 0.358 0.101 0.219 0.090
967.861 0.061 0.099 0.297 0.090
967.993 0.089 0.099 0.410 0.091
968.124 0.089 0.098 0.188 0.089
968.256 0.096 0.098 0.044 0.088
968.388 0.020 0.096 0.029 0.087
968.519 0.138 0.097 0.183 0.087
968.651 0.348 0.098 0.215 0.087
968.783 0.431 0.098 0.188 0.087
968.915 0.573 0.098 0.551 0.090
969.046 0.461 0.097 0.698 0.090
969.178 0.443 0.097 0.552 0.089
969.310 0.504 0.098 0.478 0.088
969.442 0.333 0.097 0.303 0.087
969.573 0.257 0.095 0.260 0.086
969.705 0.246 0.094 0.082 0.084
969.837 0.182 0.093 0.227 0.084
969.968 0.218 0.093 0.263 0.084
970.100 0.276 0.093 0.241 0.084
970.232 0.152 0.092 0.191 0.083
970.364 0.114 0.091 0.095 0.082
970.495 0.085 0.091 -0.018 0.081
970.627 0.108 0.092 0.045 0.082
970.759 0.094 0.092 -0.013 0.083
970.890 0.095 0.092 -0.008 0.083
971.022 0.167 0.092 0.057 0.082
971.154 0.108 0.091 0.065 0.082
971.286 0.164 0.091 0.046 0.082
971.417 0.058 0.090 0.080 0.082
971.549 -0.143 0.088 -0.002 0.081
971.681 -0.049 0.089 0.093 0.081
971.812 0.011 0.089 0.050 0.080
971.944 0.078 0.089 -0.102 0.079
972.076 -0.150 0.088 -0.020 0.082
972.208 0.085 0.091 -0.024 0.081
972.339 0.126 0.091 -0.069 0.081
972.471 0.021 0.090 -0.070 0.081
972.603 0.166 0.091 -0.044 0.081
972.734 -0.024 0.089 0.018 0.081
972.866 0.048 0.089 -0.015 0.080
972.998 -0.098 0.088 -0.012 0.080
973.130 -0.133 0.088 0.110 0.080
973.261 0.027 0.089 0.136 0.080
973.393 0.212 0.090 0.197 0.081
973.525 0.184 0.090 0.189 0.080
973.656 0.191 0.089 0.255 0.080
973.788 0.044 0.088 0.225 0.080
973.920 0.033 0.087 0.247 0.081
974.052 0.272 0.089 0.215 0.081
974.183 0.315 0.089 0.159 0.087
974.315 0.191 0.089 0.165 0.100
974.447 0.221 0.091 0.291 0.105
974.579 0.131 0.091 0.242 0.139
974.710 0.225 0.092 0.234 0.096
974.842 0.251 0.092 0.009 0.080
974.974 0.353 0.092 0.137 0.083
975.105 0.179 0.094 0.102 0.083
975.237 0.068 0.093 0.090 0.082
975.369 0.016 0.092 0.003 0.080
975.501 -0.104 0.088 0.085 0.080
975.632 -0.092 0.088 0.002 0.080
975.764 -0.056 0.088 0.012 0.080
975.896 -0.200 0.087 -0.007 0.079
976.027 0.075 0.088 0.024 0.079
976.159 0.114 0.087 0.035 0.078
976.291 0.013 0.086 0.065 0.078
976.423 -0.002 0.086 -0.020 0.077
976.554 -0.004 0.085 -0.122 0.075
976.686 0.014 0.084 0.082 0.076
976.818 0.102 0.086 0.060 0.076
976.949 -0.031 0.086 0.068 0.076
977.081 -0.012 0.085 -0.040 0.075
977.213 0.054 0.085 -0.034 0.075
977.345 0.046 0.084 0.009 0.075
977.476 0.156 0.084 0.144 0.075
977.608 0.112 0.084 0.073 0.075
977.740 0.089 0.085 0.334 0.077
977.871 0.247 0.086 0.356 0.077
978.003 0.361 0.086 0.332 0.076
978.135 0.423 0.085 0.499 0.076
978.267 0.320 0.085 0.421 0.076
978.398 0.302 0.085 0.339 0.076
978.530 0.522 0.088 0.290 0.077
978.662 0.436 0.088 0.601 0.080
978.793 0.362 0.087 0.762 0.079
978.925 0.661 0.088 0.683 0.078
979.057 0.758 0.087 0.521 0.076
979.189 0.661 0.086 0.519 0.076
979.320 0.534 0.084 0.504 0.075
979.452 0.416 0.084 0.397 0.074
979.584 0.277 0.084 0.345 0.075
979.715 0.367 0.085 0.382 0.076
979.847 0.355 0.084 0.403 0.075
979.979 0.571 0.084 0.422 0.074
980.111 0.504 0.082 0.392 0.074
980.242 0.421 0.081 0.423 0.078
980.374 0.479 0.081 0.584 0.077
980.506 0.388 0.081 0.495 0.073
980.638 0.397 0.081 0.404 0.072
980.769 0.321 0.080 0.374 0.072
980.901 0.514 0.082 0.419 0.073
981.033 0.700 0.085 0.585 0.074
981.164 0.484 0.084 0.717 0.075
981.296 0.532 0.084 0.628 0.074
